timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2021-01-10 13:53:45 +0000;51.672844;5.292111;2.328602;4.982314;4.982314;41.320538;174.382651
2021-01-10 13:53:46 +0000;51.672755;5.292131;1.897054;5.006693;5.006693;38.874721;172.873797
2021-01-10 13:53:49 +0000;51.672604;5.292170;2.360557;5.021830;5.021830;33.019649;169.917141
2021-01-10 13:53:51 +0000;51.672477;5.292207;2.629659;5.009649;5.009649;26.257270;171.653244
2021-01-10 13:53:58 +0000;51.672369;5.292246;3.991701;5.013423;5.013423;9.489658;169.648697
2021-01-10 13:54:01 +0000;51.672251;5.292279;4.307048;4.986835;4.986835;14.125813;169.648697
2021-01-10 13:54:05 +0000;51.672150;5.292259;4.460894;5.012721;5.012721;12.240489;190.748887
2021-01-10 13:54:08 +0000;51.672035;5.292189;4.663143;4.931846;4.931846;15.889583;189.185806
2021-01-10 13:54:11 +0000;51.671915;5.292311;5.002811;4.939313;4.939313;20.071809;126.184616
2021-01-10 13:54:13 +0000;51.671926;5.292515;5.238934;4.915948;4.915948;21.967670;79.406555
2021-01-10 13:54:15 +0000;51.672031;5.292616;5.326202;4.901099;4.901099;21.205672;33.758083
2021-01-10 13:54:17 +0000;51.672155;5.292552;4.957746;4.896200;4.896200;22.585284;338.374581
2021-01-10 13:54:19 +0000;51.672270;5.292372;4.983396;4.898287;4.898287;29.465556;326.551704
2021-01-10 13:54:21 +0000;51.672436;5.292261;5.091558;4.919719;4.919719;36.283330;348.231934
2021-01-10 13:54:22 +0000;51.672549;5.292221;5.265093;4.914719;4.914719;40.606437;351.653259
2021-01-10 13:54:23 +0000;51.672687;5.292215;5.764057;4.913991;4.913991;47.450063;352.214844
2021-01-10 13:54:24 +0000;51.672821;5.292196;5.893958;4.915726;4.915726;51.159506;355.038910
2021-01-10 13:54:25 +0000;51.672963;5.292168;6.418107;4.942611;4.942611;54.480369;351.849213
2021-01-10 13:54:26 +0000;51.673098;5.292156;6.642657;4.922860;4.922860;55.373828;0.631311
2021-01-10 13:54:27 +0000;51.673240;5.292157;7.369099;4.954862;4.954862;56.352685;359.580536
2021-01-10 13:54:28 +0000;51.673377;5.292154;7.269100;4.939369;4.939369;55.010888;0.889151
2021-01-10 13:54:29 +0000;51.673515;5.292157;6.986867;4.988093;4.988093;55.220691;0.889151
2021-01-10 13:54:30 +0000;51.673646;5.292161;6.205401;4.995496;4.995496;54.519829;2.198934
2021-01-10 13:54:31 +0000;51.673789;5.292169;5.561264;5.017739;5.017739;56.181095;2.198934
2021-01-10 13:54:32 +0000;51.673935;5.292176;5.847388;4.995370;4.995370;57.327624;1.235251
2021-01-10 13:54:33 +0000;51.674078;5.292181;6.058556;5.003346;5.003346;57.671944;3.102081
2021-01-10 13:54:34 +0000;51.674228;5.292194;5.691654;4.996324;4.996324;58.474824;1.472829
2021-01-10 13:54:35 +0000;51.674379;5.292128;5.990789;4.994935;4.994935;59.136972;0.000000
2021-01-10 13:54:36 +0000;51.674534;5.292141;6.121235;4.999549;4.999549;60.464499;2.333834
2021-01-10 13:54:37 +0000;51.674678;5.292153;5.949833;4.992784;4.992784;58.927907;2.357612
2021-01-10 13:54:38 +0000;51.674828;5.292167;6.039636;4.944640;4.944640;58.334758;3.592226
2021-01-10 13:54:39 +0000;51.674965;5.292200;5.931010;4.921547;4.921547;56.025533;7.870454
2021-01-10 13:54:40 +0000;51.675107;5.292238;5.852957;4.909531;4.909531;56.306310;10.171533
2021-01-10 13:54:41 +0000;51.675240;5.292367;6.086582;4.890934;4.890934;57.140209;13.027866
2021-01-10 13:54:42 +0000;51.675383;5.292426;5.484650;4.860523;4.860523;58.278235;14.554918
2021-01-10 13:54:43 +0000;51.675530;5.292487;5.410669;4.844824;4.844824;59.366235;14.554918
2021-01-10 13:54:44 +0000;51.675675;5.292550;5.883326;4.830734;4.830734;60.108771;16.072628
2021-01-10 13:54:45 +0000;51.675826;5.292610;6.201851;4.823093;4.823093;60.499088;11.272788
2021-01-10 13:54:46 +0000;51.675977;5.292629;6.012862;4.833060;4.833060;60.656331;10.069796
2021-01-10 13:54:47 +0000;51.676122;5.292679;5.261722;4.829125;4.829125;59.884065;10.069796
2021-01-10 13:54:48 +0000;51.676269;5.292717;5.424991;4.832547;4.832547;58.902876;12.033442
2021-01-10 13:54:49 +0000;51.676406;5.292785;5.408676;4.827969;4.827969;57.791500;9.859248
2021-01-10 13:54:50 +0000;51.676544;5.292821;5.361469;4.818308;4.818308;56.383276;9.075747
2021-01-10 13:54:51 +0000;51.676687;5.292823;4.633082;4.805805;4.805805;56.114432;8.823314
2021-01-10 13:54:52 +0000;51.676823;5.292861;5.272700;4.798495;4.798495;55.376145;9.059645
2021-01-10 13:54:53 +0000;51.676961;5.292895;6.594096;4.863131;4.863131;54.681666;9.083414
2021-01-10 13:54:53 +0000;51.677095;5.292929;7.202556;4.900444;4.900444;54.041210;9.125681
2021-01-10 13:54:54 +0000;51.677226;5.292962;7.556423;4.928428;4.928428;53.205128;8.961817
2021-01-10 13:54:55 +0000;51.677355;5.292997;7.755446;4.925000;4.925000;52.417295;9.352581
2021-01-10 13:54:56 +0000;51.677485;5.293040;7.896101;4.920908;4.920908;52.044997;10.626362
2021-01-10 13:54:57 +0000;51.677613;5.293076;8.235785;4.936043;4.936043;51.632282;9.660562
2021-01-10 13:54:58 +0000;51.677737;5.293120;8.334331;4.955572;4.955572;51.395529;9.155457
2021-01-10 13:54:59 +0000;51.677869;5.293165;8.898105;4.954960;4.954960;52.502724;9.571111
2021-01-10 13:55:00 +0000;51.678000;5.293194;8.755511;4.940745;4.940745;53.136744;8.706714
2021-01-10 13:55:01 +0000;51.678133;5.293225;8.942384;4.948161;4.948161;53.736361;8.124239
2021-01-10 13:55:02 +0000;51.678268;5.293261;9.105391;4.958124;4.958124;54.565430;7.977178
2021-01-10 13:55:03 +0000;51.678400;5.293293;9.339721;4.957405;4.957405;54.779202;7.454126
2021-01-10 13:55:04 +0000;51.678533;5.293330;9.524443;4.954065;4.954065;55.015682;8.453444
2021-01-10 13:55:05 +0000;51.678669;5.293363;9.683876;4.961175;4.961175;55.826898;9.115684
